section,scope,key,n,median_abs_dJ_dH,median_abs_dJ_dV,median_abs_dJ_dS,median_specification_share,value
role_migration,all,autonomy=0.00,768,0.2709999999973688,0.13350000000212886,0.10899999999863443,0.13613794459639733,
role_migration,all,autonomy=0.25,768,0.20324999999802656,0.10012500000229053,0.13174999999925338,0.20354226067654207,
role_migration,all,autonomy=0.50,768,0.1354999999986844,0.06675000000245221,0.15449999999901468,0.3083884971614923,
role_migration,all,autonomy=0.75,768,0.0677499999993422,0.03337499999988516,0.1772499999999993,0.5049167138449897,
role_migration,all,autonomy=1.00,768,0.0,0.0,0.20000000000055512,1.0,
role_migration,interior_Aeff,autonomy=0.00,624,0.2932500000002095,0.16575000000070986,0.11100000000005551,0.13644572440220348,
role_migration,interior_Aeff,autonomy=0.25,624,0.21993749999660478,0.1243124999998385,0.1332500000008743,0.20280542865492768,
role_migration,interior_Aeff,autonomy=0.50,624,0.1466250000028803,0.08287499999908268,0.15549999999891753,0.30682193326639484,
role_migration,interior_Aeff,autonomy=0.75,624,0.0733124999986646,0.04143750000075634,0.1777499999997363,0.5029789855977123,
role_migration,interior_Aeff,autonomy=1.00,624,0.0,0.0,0.20000000000055512,1.0,
gating,unique_parameter_configurations,gating_worse_fraction,768,,,,,0.34765625
gating_by_agent,unique_parameter_configurations,agent=0.55,192,,,,,0.041666666666666664
gating_by_agent,unique_parameter_configurations,agent=0.70,192,,,,,0.15104166666666666
gating_by_agent,unique_parameter_configurations,agent=0.85,192,,,,,0.3958333333333333
gating_by_agent,unique_parameter_configurations,agent=0.95,192,,,,,0.8020833333333334
