detectors,budget,n_seeds,agent_accuracy,agent_act_coverage,defer_rate,mean_system,mean_human_leverage,leverage_slope_mean,leverage_slope_p05,leverage_slope_p50,leverage_slope_p95
15,one_shot,300,0.08,0.08,0.9234369038944592,0.7260945031515689,0.6495314070460281,0.7655967891615328,0.6399977107626644,0.7651300911429046,0.9014481273788049
40,one_shot,300,0.12,0.12,0.8827271390521693,0.7285691235710459,0.6112962626232149,0.7562631402432077,0.625236900225272,0.7550920428219188,0.8959851542338512
80,one_shot,300,0.1466666666666667,0.1466666666666667,0.8568277189588719,0.7329472764650046,0.5897749954238765,0.7338063378180881,0.5959960135982706,0.7259211473819779,0.885513084524674
120,one_shot,300,0.17333333333333334,0.17333333333333334,0.8295357694358763,0.7364146947082274,0.5659504641441038,0.713218500288405,0.5818143015036993,0.7061387528812144,0.8559150422451053
180,one_shot,300,0.22666666666666663,0.22666666666666663,0.774366212166161,0.748115950134381,0.522482162300542,0.6747828027724546,0.5333072627025279,0.6710059028339799,0.8252544027792305
240,one_shot,300,0.26666666666666666,0.26666666666666666,0.7348311754502961,0.7569292568155526,0.4917604322658487,0.6466412120204693,0.5092670503620584,0.6427853045012986,0.7922021715204166
321,one_shot,300,0.3333333333333333,0.49333333333333323,0.5118551071349386,0.6768051221087463,0.3447841069924776,0.44320214190776974,0.319217957862802,0.43924276785960664,0.558463326357515
15,retry3,300,0.08,0.08,0.9234369038944592,0.8492901440687807,0.7727270479632398,0.8033179829805991,0.6234071546970921,0.801725191082989,0.9866123783922041
40,retry3,300,0.12,0.12,0.8827271390521693,0.8498823529117838,0.7326094919639531,0.7975450507884145,0.6069735657928783,0.7962207808403335,0.9946934295875397
80,retry3,300,0.1466666666666667,0.1466666666666667,0.8568277189588719,0.8521106271677659,0.7089383461266378,0.7761928958849098,0.592886283167503,0.7666226932587915,0.982807860803066
120,retry3,300,0.17333333333333334,0.17333333333333334,0.8295357694358763,0.8535749491647849,0.6831107186006612,0.7572488209554292,0.5801147765380014,0.7518197526781594,0.9538340836491466
180,retry3,300,0.22666666666666663,0.22666666666666663,0.774366212166161,0.8597028495473314,0.6340690617134925,0.7215037728820598,0.5378323037221373,0.7169580328353431,0.9137290367066715
240,retry3,300,0.26666666666666666,0.26666666666666666,0.7348311754502961,0.8624162264490375,0.5972474018993337,0.6904949836961678,0.5053637091040676,0.6878057906924406,0.8823564572369921
321,retry3,300,0.3333333333333333,0.49333333333333323,0.5118551071349386,0.7505987508396613,0.4185777357233926,0.461678452395941,0.3169756403535707,0.4577800791011254,0.6100681926431389
